"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Coen Brothers Movie Collection: Barton Fink / Blood Simple / Fargo / Miller's Crossing / Raising Arizona","MGM/UA",,"Discontinued","VAR","LBX, 16:9",49.98,"VAR","VAR","VAR","1.85:1","027616093554",2007-11-06 00:00:00,117858,2014-01-19 00:00:00
"Coeurs: Private Fears In Public Places","Christal Films",,"Out","2.0","4:3",72.99,"NR","2006","Foreign","1.33:1","807581508761",2007-05-15 00:00:00,125047,2007-10-30 00:00:00
"Coexist Comedy Tour","Horizon Movies",,"Out","2.0","LBX, 16:9",19.95,"NR","2012","Documentary","1.78:1","738329123628",2014-01-28 00:00:00,255779,2014-01-29 00:00:00
"Coexist Comedy Tour (Alternate UPC)","Horizon Movies",,"Out","2.0","LBX, 16:9",19.95,"NR","2013","Documentary","1.78:1","738329118327",2014-01-28 00:00:00,256240,2014-01-29 00:00:00
"Coffee And Cigarettes","MGM/UA",,"Discontinued","5.1","LBX, 16:9",14.98,"R","2003","Comedy","1.85:1","027616911711",2004-09-21 00:00:00,45438,2009-02-11 00:00:00
"Coffee Bar & Lounge","IMV / Blueline",,"Out","2.0","4:3",14.95,"NR","2013","Music","1.33:1","5883007136089",2013-01-29 00:00:00,236995,2013-01-29 00:00:00
"Coffee Break!","Alexander Street Press",,"Out","2.0","4:3",195,"NR","UNK","Documentary","1.33:1","9781463102159",2013-09-17 00:00:00,253288,2013-10-23 00:00:00
"Coffee Date","TLA Releasing",,"Out","5.1","LBX, 16:9",14.99,"NR","2006","Comedy","1.78:1","807839002959",2007-09-25 00:00:00,115622,2008-02-22 00:00:00
"Coffee Express","DistriMax",,"Out","2.0","4:3",9.98,"NR","2008","Foreign","1.33:1","876122003102",2010-08-10 00:00:00,184204,2014-12-06 00:00:00
"Coffee In Berlin","Music Box Films",,"Out","SUB","LBX, 16:9",29.95,"NR","2012","Foreign","1.85:1","741360538573",2014-10-21 00:00:00,267409,2014-10-21 00:00:00
"Coffee In Berlin (Blu-ray)","Music Box Films",,"Out","SUB","LBX, 16:9, BLU-RAY",34.95,"NR","2012","Foreign","1.85:1","741360538580",2014-10-21 00:00:00,267455,2014-10-21 00:00:00
"Coffee Prince","MBC America",,"Discontinued","SUB","LBX, 16:9",99.99,"NR","2007","Foreign","1.85:1","890293002030",2008-01-08 00:00:00,128969,2012-11-06 00:00:00
"Coffee Samurai / Hoshizora Kiseki","Sentai FilmWorks",,"Out","SUB","4:3",19.98,"NR","VAR","Foreign","1.33:1","814131017109",2011-05-10 00:00:00,199227,2011-05-10 00:00:00
"Coffee Shop","Shami Production",,"Out","2.0","4:3",14.95,"NR","2014","Comedy","1.33:1","798657804835",2015-02-17 00:00:00,274268,2015-02-17 00:00:00
"Coffee Town","Shout! Factory",,"Out","2.0","LBX, 16:9",14.93,"NR","2013","Comedy","2.35:1","826663154504",2015-02-03 00:00:00,273360,2015-02-03 00:00:00
"Coffee: A Sack Full Of Power","Alexander Street Press",,"Out","2.0","4:3",295,"NR","UNK","Documentary","1.33:1","9781463102142",2013-09-17 00:00:00,253250,2013-10-23 00:00:00
